Country,Region/State,Zip/Postal Code,Weight from,Weight to,Shipping Price,Delivery Type
GBR,*,BT%,2,2.5,27.45,Courier Post
GBR,*,BT%,2.5,3,29.38,Courier Post
GBR,*,BT%,3,3.5,31.36,Courier Post
GBR,*,BT%,3.5,4,33.44,Courier Post
GBR,*,BT%,4,4.5,35.43,Courier Post
GBR,*,BT%,4.5,5,37.46,Courier Post
GBR,*,BT%,5,6,39.49,Courier Post
GBR,*,BT%,6,7,41.52,Courier Post
GBR,*,BT%,7,8,43.55,Courier Post
GBR,*,BT%,8,9,45.58,Courier Post
GBR,*,BT%,9,10,47.61,Courier Post
GBR,*,BT%,10,11,49.64,Courier Post
GBR,*,BT%,11,12,51.67,Courier Post
GBR,*,BT%,12,13,53.71,Courier Post
GBR,*,BT%,13,14,55.74,Courier Post
GBR,*,BT%,14,15,57.77,Courier Post
GBR,*,BT%,15,16,59.8,Courier Post
GBR,*,BT%,16,17,61.83,Courier Post
GBR,*,BT%,17,18,63.86,Courier Post
GBR,*,BT%,18,19,65.89,Courier Post
GBR,*,BT%,19,20,67.92,Courier Post
GBR,*,*,0,0.05,2.7,Courier Post
GBR,*,*,0.05,0.1,3,Courier Post
GBR,*,*,0.1,0.25,4,Courier Post
GBR,*,*,0.25,0.5,5,Courier Post
GBR,*,*,0.5,1,7.5,Courier Post
GBR,*,*,1,1.5,10.75,Courier Post
GBR,*,*,1.5,2,10.75,Courier Post
GBR,*,*,2,2.5,30,Courier Post
GBR,*,*,2.5,3,34,Courier Post
GBR,*,*,3,3.5,36,Courier Post
GBR,*,*,3.5,4,38,Courier Post
GBR,*,*,4,4.5,40,Courier Post
GBR,*,*,4.5,20,42,Courier Post
!EU,*,*,0,0.05,2.7,Courier Post
!EU,*,*,0.05,0.1,3,Courier Post
!EU,*,*,0.1,0.25,4,Courier Post
!EU,*,*,0.25,0.5,5,Courier Post
!EU,*,*,0.5,1,7.5,Courier Post
!EU,*,*,1,1.5,10.75,Courier Post
!EU,*,*,1.5,2,10.75,Courier Post
!EU,*,*,2,2.5,36,Courier Post
!EU,*,*,2.5,3,40,Courier Post
!EU,*,*,3,3.5,46,Courier Post
!EU,*,*,3.5,4,50,Courier Post
!EU,*,*,4,4.5,55.5,Courier Post
!EU,*,*,4.5,20,60,Courier Post
*,*,*,0,0.05,2.7,Courier Post
*,*,*,0.05,0.1,3,Courier Post
*,*,*,0.1,0.25,4,Courier Post
*,*,*,0.25,0.5,5,Courier Post
*,*,*,0.5,1,10.75,Courier Post
*,*,*,1,1.5,17,Courier Post
*,*,*,1.5,2,17,Courier Post
*,*,*,2,2.5,36,Courier Post
*,*,*,2.5,3,40,Courier Post
*,*,*,3,3.5,46,Courier Post
*,*,*,3.5,4,50,Courier Post
*,*,*,4,4.5,55,Courier Post
*,*,*,4.5,20,60,Courier Post
